site,year,salinity,depth (ft)
4938,2012,0.13,0.60811
5035,2012,0.13,0.17427
5167,2012,0.5,0.39178
5255,2012,0.8,0.17548
5267,2012,0.31,0.24208
5373,2012,0.6,0.76593
5414,2012,0.86,0.38447
5452,2012,0.33,0.19185
5845,2012,0.3,0.17811
6038,2012,0.14,-0.97498
6042,2012,0.13,-0.63117
6088,2012,0.11,-0.11742
6090,2012,0.02,-0.14851
6209,2012,1.77,0.05417
6303,2012,2.82,-0.43969
6304,2012,0.13,-0.64426
2,2013,5.67,0.21761
3,2013,24.97,-0.41396
6,2013,5.34,0.20381
30,2013,1.75,-0.069096
33,2013,1.89,0.36894
34,2013,1.63,0.14147
38,2013,0.3,0.6332
39,2013,0.16,1.2216
46,2013,0.05,0.16753
47,2013,0.6,0.041963
56,2013,1.17,0.46717
86,2013,0.06,0.46598
97,2013,0.35,0.37923
103,2013,0.25,0.18557
108,2013,12.3,-0.25064
121,2013,5.32,0.3547
125,2013,1.55,0.15542
131,2013,6.57,-0.46118
132,2013,7.32,-0.1564
135,2013,5.34,-0.4141
136,2013,7.34,-0.49357
139,2013,0.21,0.1466
148,2013,4.1,-0.72533
154,2013,0.49,-0.0752
156,2013,0.56,-0.26136
159,2013,0.53,0.2312
163,2013,1.45,-0.13134
164,2013,25.89,0.10584
171,2013,29.55,-0.075075
172,2013,26.31,0.13851
173,2013,22.7,-0.070562
174,2013,24.89,-0.029773
175,2013,18.38,0.19162
178,2013,22.84,-0.25969
179,2013,24.16,-0.17244
181,2013,27.28,-0.3498
209,2013,18.8,-0.42607
217,2013,0.09,0.62866
220,2013,6.49,-0.03427
225,2013,9.36,-0.084415
226,2013,14.14,-0.47699
232,2013,9.88,-0.19562
248,2013,8.44,-0.28574
251,2013,8.59,0.021398
253,2013,6.88,-0.24979
258,2013,16.83,-0.028091
260,2013,15.06,-0.19399
261,2013,5.58,-0.055403
263,2013,14.6,-0.089264
272,2013,23.17,0.031686
292,2013,32.16,-0.17227
293,2013,12.88,-0.26494
302,2013,26.89,-0.247
303,2013,12.53,-0.515
305,2013,1,-0.59439
307,2013,17.63,-0.034514
309,2013,9.42,-0.38661
310,2013,22.25,0.099542
311,2013,23.8,-0.11143
315,2013,NaN,-0.29785
319,2013,18.98,0.049605
322,2013,14.51,-0.2274
324,2013,0.11,0.14524
326,2013,11.11,-0.44731
332,2013,12.74,-0.53875
335,2013,14.07,0.024439
336,2013,5.47,-0.040134
337,2013,24.69,-0.063979
338,2013,17.19,0.30363
341,2013,21.68,0.076495
